"","State","County","Civ_Labor_Force_2023","Med_Household_Income_2023","Unemployment_Rate_2023"
"553","ID","Bannock County, ID",44267,62120,3.1
"554","ID","Bear Lake County, ID",2920,66006,2.8
"555","ID","Benewah County, ID",4263,56188,5
"556","ID","Bingham County, ID",23849,70052,3.1
"557","ID","Blaine County, ID",13823,98707,2.7
"558","ID","Boise County, ID",4077,74121,4.2
"559","ID","Bonner County, ID",22417,64860,4.3
"560","ID","Bonneville County, ID",65279,74505,2.6
"561","ID","Boundary County, ID",5517,62801,4.7
"562","ID","Butte County, ID",1196,57085,3.9
"563","ID","Camas County, ID",561,73311,3.2
"564","ID","Canyon County, ID",116741,70594,3.4
"565","ID","Caribou County, ID",3677,70354,3.1
"566","ID","Cassia County, ID",12340,68170,2.6
"567","ID","Clark County, ID",474,53366,3.2
"568","ID","Clearwater County, ID",3431,57081,5.7
"569","ID","Custer County, ID",2017,57405,3.8
"570","ID","Elmore County, ID",12575,63009,3.3
"571","ID","Franklin County, ID",7105,71669,2.7
"572","ID","Fremont County, ID",7884,61115,2.6
"573","ID","Gem County, ID",8774,60771,3.8
"574","ID","Gooding County, ID",8159,59838,3
"575","ID","Idaho County, ID",7410,60907,4
"576","ID","Jefferson County, ID",15546,76474,2.6
"577","ID","Jerome County, ID",11904,61509,3.1
"578","ID","Kootenai County, ID",87778,75583,3.6
"579","ID","Latah County, ID",20715,60108,2.7
"580","ID","Lemhi County, ID",4072,55554,3.8
"581","ID","Lewis County, ID",1663,55128,3.4
"582","ID","Lincoln County, ID",2509,61658,3.9
"583","ID","Madison County, ID",24051,52224,2.2
"584","ID","Minidoka County, ID",11987,60834,2.7
"585","ID","Nez Perce County, ID",21717,65558,2.8
"586","ID","Oneida County, ID",2427,66175,3
"587","ID","Owyhee County, ID",5585,57142,3.9
"588","ID","Payette County, ID",11581,61725,3.8
"589","ID","Power County, ID",4031,57426,3.8
"590","ID","Shoshone County, ID",5779,47005,5.2
"591","ID","Teton County, ID",7931,95580,2.3
"592","ID","Twin Falls County, ID",44482,63860,3.2
"593","ID","Valley County, ID",6380,74166,3.7
"594","ID","Washington County, ID",4573,55072,4
"595","IL","Adams County, IL",30918,61747,3.6
"596","IL","Alexander County, IL",1811,41378,6.3
"597","IL","Bond County, IL",7573,66071,4.2
"598","IL","Boone County, IL",24945,83695,7
"599","IL","Brown County, IL",3095,78081,2.4
"600","IL","Bureau County, IL",15776,63042,5.7
"601","IL","Calhoun County, IL",2197,68525,4.2
"602","IL","Carroll County, IL",7234,64157,4.4
"603","IL","Cass County, IL",5801,62129,4.4
"604","IL","Champaign County, IL",111823,61205,4.1
"605","IL","Christian County, IL",13545,56888,5.1
"606","IL","Clark County, IL",7274,63655,4.6
"607","IL","Clay County, IL",5765,55282,5.3
"608","IL","Clinton County, IL",20138,79612,3.3
"609","IL","Coles County, IL",22868,57712,4.4
"610","IL","Cook County, IL",2651912,76614,4.4
"611","IL","Crawford County, IL",8541,66333,4
"612","IL","Cumberland County, IL",6017,79140,3.5
"613","IL","DeKalb County, IL",54336,71882,4.7
"614","IL","De Witt County, IL",7511,64262,4.4
"615","IL","Douglas County, IL",10228,67796,3.6
"616","IL","DuPage County, IL",519060,102383,3.4
"617","IL","Edgar County, IL",9022,63430,3.7
"618","IL","Edwards County, IL",2570,58387,4.7
"619","IL","Effingham County, IL",19570,74800,3.2
"620","IL","Fayette County, IL",9723,57729,4.9
"621","IL","Ford County, IL",6446,67135,4.4
"622","IL","Franklin County, IL",15856,49108,5.5
"623","IL","Fulton County, IL",14571,57362,5.3
"624","IL","Gallatin County, IL",2044,51367,5.4
"625","IL","Greene County, IL",5803,58196,4.4
"626","IL","Grundy County, IL",26233,93882,4.6
"627","IL","Hamilton County, IL",4332,56984,3.8
"628","IL","Hancock County, IL",7901,63324,4.1
"629","IL","Hardin County, IL",1443,46568,5.5
"630","IL","Henderson County, IL",3517,61892,4.2
"631","IL","Henry County, IL",23658,70517,4.9
"632","IL","Iroquois County, IL",12913,65181,4.6
"633","IL","Jackson County, IL",27151,44756,4.4
"634","IL","Jasper County, IL",4841,66290,4
"635","IL","Jefferson County, IL",16291,58623,4.7
"636","IL","Jersey County, IL",10702,72363,3.9
"637","IL","Jo Daviess County, IL",10609,67217,4.1
"638","IL","Johnson County, IL",4104,59794,5.8
"639","IL","Kane County, IL",266988,93475,5.1
"640","IL","Kankakee County, IL",51960,70494,5.8
"641","IL","Kendall County, IL",72627,102509,3.8
"642","IL","Knox County, IL",20108,57666,5.5
"643","IL","Lake County, IL",366879,101621,5
"644","IL","LaSalle County, IL",51410,64711,5.8
"645","IL","Lawrence County, IL",5056,57460,5.3
"646","IL","Lee County, IL",16805,67371,4.4
"647","IL","Livingston County, IL",16136,74418,4.1
"648","IL","Logan County, IL",11345,53775,4.7
"649","IL","McDonough County, IL",12780,52812,4.6
"650","IL","McHenry County, IL",169714,99128,3.7
"651","IL","McLean County, IL",90686,71825,3.9
"652","IL","Macon County, IL",45206,60648,6
"653","IL","Macoupin County, IL",22355,69880,4.1
"654","IL","Madison County, IL",132488,67441,4.1
"655","IL","Marion County, IL",16872,58489,4.9
"656","IL","Marshall County, IL",5145,69593,5.2
"657","IL","Mason County, IL",5929,60784,5.2
"658","IL","Massac County, IL",5378,52880,5
"659","IL","Menard County, IL",6193,78115,3.9
"660","IL","Mercer County, IL",7546,70430,4.7
"661","IL","Monroe County, IL",18849,100487,3.1
"662","IL","Montgomery County, IL",11368,56381,5.1
"663","IL","Morgan County, IL",15579,64842,4.2
"664","IL","Moultrie County, IL",7201,75505,3.6
"665","IL","Ogle County, IL",23807,78577,5.4
"666","IL","Peoria County, IL",82402,65421,5.5
"667","IL","Perry County, IL",7734,53051,5.3
"668","IL","Piatt County, IL",8803,85430,3.8
"669","IL","Pike County, IL",6704,54244,4.5
"670","IL","Pope County, IL",1799,54878,3.9
"671","IL","Pulaski County, IL",1644,44873,7.7
"672","IL","Putnam County, IL",2963,83029,5.6
"673","IL","Randolph County, IL",13336,62575,4
"674","IL","Richland County, IL",7255,56831,4.2
"675","IL","Rock Island County, IL",67181,62652,5.1
"676","IL","St. Clair County, IL",124359,67185,4.6
"677","IL","Saline County, IL",9590,50979,5
"678","IL","Sangamon County, IL",97376,73684,4.3
"679","IL","Schuyler County, IL",3160,62968,4.3
"680","IL","Scott County, IL",2292,64853,5.1
"681","IL","Shelby County, IL",9921,65396,4.4
"682","IL","Stark County, IL",2410,59234,5.6
"683","IL","Stephenson County, IL",20962,60988,5
"684","IL","Tazewell County, IL",62018,73285,4.5
"685","IL","Union County, IL",7109,51116,5.4
"686","IL","Vermilion County, IL",31898,52083,5.8
"687","IL","Wabash County, IL",5547,63777,3.4
"688","IL","Warren County, IL",8007,57357,4.2
"689","IL","Washington County, IL",9708,71958,2.8
"690","IL","Wayne County, IL",6925,53359,4.6
"691","IL","White County, IL",6074,54611,4.1
"692","IL","Whiteside County, IL",27535,62038,4.7
"693","IL","Will County, IL",367740,97076,4.2
"694","IL","Williamson County, IL",31045,64152,4.4
"695","IL","Winnebago County, IL",132003,62557,6.2
"696","IL","Woodford County, IL",18286,85892,4
"697","IN","Adams County, IN",16809,60620,2.7
"698","IN","Allen County, IN",189514,65967,3.1
"699","IN","Bartholomew County, IN",44070,68910,2.8
"700","IN","Benton County, IN",4527,62248,2.6
"701","IN","Blackford County, IN",4795,54825,4
"702","IN","Boone County, IN",38693,102805,2.5
"703","IN","Brown County, IN",7919,74161,3.3
"704","IN","Carroll County, IN",10171,64731,2.9
"705","IN","Cass County, IN",17431,60452,3.7
"706","IN","Clark County, IN",63165,68493,3.1
"707","IN","Clay County, IN",11589,59057,3.4
"708","IN","Clinton County, IN",17583,60916,2.6
"709","IN","Crawford County, IN",4814,53547,3.6
"710","IN","Daviess County, IN",16995,63777,2.4
"711","IN","Dearborn County, IN",26168,77621,3.3
"712","IN","Decatur County, IN",14587,65847,2.7
"713","IN","DeKalb County, IN",22199,72910,3
"714","IN","Delaware County, IN",51390,54059,3.8
"715","IN","Dubois County, IN",21994,71171,2.5
"716","IN","Elkhart County, IN",110513,63777,4
"717","IN","Fayette County, IN",8330,54892,4.4
"718","IN","Floyd County, IN",42544,74264,2.8
"719","IN","Fountain County, IN",8095,63973,3.1
"720","IN","Franklin County, IN",11306,74779,3.1
"721","IN","Fulton County, IN",9537,62412,3.5
"722","IN","Gibson County, IN",19625,66247,2.4
"723","IN","Grant County, IN",31150,51053,3.5
"724","IN","Greene County, IN",13525,61663,3.9
"725","IN","Hamilton County, IN",197462,117068,2.5
"726","IN","Hancock County, IN",43197,87845,2.8
"727","IN","Harrison County, IN",20617,72259,2.8
"728","IN","Hendricks County, IN",96080,94760,2.7
"729","IN","Henry County, IN",22242,54714,3.4
"730","IN","Howard County, IN",33780,56960,5
"731","IN","Huntington County, IN",18316,59491,3
"732","IN","Jackson County, IN",22875,66082,2.8
"733","IN","Jasper County, IN",16082,75738,3.6
"734","IN","Jay County, IN",8921,57690,3.1
"735","IN","Jefferson County, IN",15064,64214,3.1
"736","IN","Jennings County, IN",13570,63597,3.4
"737","IN","Johnson County, IN",87829,83036,2.7
"738","IN","Knox County, IN",17939,58238,3
"739","IN","Kosciusko County, IN",40657,71611,3.4
"740","IN","LaGrange County, IN",21002,81010,3.1
"741","IN","Lake County, IN",228991,66169,5
"742","IN","LaPorte County, IN",47678,66336,4
"743","IN","Lawrence County, IN",20095,60141,3.8
"744","IN","Madison County, IN",60874,58926,3.6
"745","IN","Marion County, IN",511700,62776,3.3
"746","IN","Marshall County, IN",23474,70938,3.4
"747","IN","Martin County, IN",5315,64216,2.8
"748","IN","Miami County, IN",14443,60835,3.9
"749","IN","Monroe County, IN",70790,64299,3.3
"750","IN","Montgomery County, IN",18930,66283,2.8
"751","IN","Morgan County, IN",37754,75542,3
"752","IN","Newton County, IN",6825,66837,3.9
"753","IN","Noble County, IN",22386,69567,3.7
"754","IN","Ohio County, IN",3234,70618,3
"755","IN","Orange County, IN",8283,54128,3.4
"756","IN","Owen County, IN",9366,62460,3.7
"757","IN","Parke County, IN",7276,64700,3.3
"758","IN","Perry County, IN",9100,55503,3
"759","IN","Pike County, IN",5849,63487,3.3
"760","IN","Porter County, IN",86290,84352,3.7
"761","IN","Posey County, IN",13044,75907,2.7
"762","IN","Pulaski County, IN",6833,60487,2.9
"763","IN","Putnam County, IN",17090,68301,3.2
"764","IN","Randolph County, IN",11701,56920,3.2
"765","IN","Ripley County, IN",12664,63571,3.5
"766","IN","Rush County, IN",9020,61653,2.7
"767","IN","St. Joseph County, IN",132300,61028,3.9
"768","IN","Scott County, IN",10616,57837,3.5
"769","IN","Shelby County, IN",23965,66045,2.8
"770","IN","Spencer County, IN",10715,70440,2.9
"771","IN","Starke County, IN",9673,58523,4.1
"772","IN","Steuben County, IN",20823,73250,2.7
"773","IN","Sullivan County, IN",7964,55497,3.8
"774","IN","Switzerland County, IN",4713,63246,3.2
"775","IN","Tippecanoe County, IN",99118,56088,2.9
"776","IN","Tipton County, IN",9014,65025,3
"777","IN","Union County, IN",3624,61171,2.9
"778","IN","Vanderburgh County, IN",92142,57997,3.2
"779","IN","Vermillion County, IN",6585,58280,4.1
"780","IN","Vigo County, IN",45640,52286,3.8
"781","IN","Wabash County, IN",14936,64025,3.1
"782","IN","Warren County, IN",4146,73539,2.9
"783","IN","Warrick County, IN",32342,84567,2.9
"784","IN","Washington County, IN",13956,65342,3.1
"785","IN","Wayne County, IN",29586,51622,3.4
"786","IN","Wells County, IN",14424,68879,2.7
"787","IN","White County, IN",13505,66167,2.7
"788","IN","Whitley County, IN",17928,72448,2.7
"789","IA","Adair County, IA",4415,66997,2.4
"790","IA","Adams County, IA",2054,58973,2.2
"791","IA","Allamakee County, IA",7108,60743,3.8
"792","IA","Appanoose County, IA",6028,53589,3.3
"793","IA","Audubon County, IA",3166,60504,2.2
"794","IA","Benton County, IA",12997,82762,3.3
"795","IA","Black Hawk County, IA",67072,62020,3.2
"796","IA","Boone County, IA",14968,74896,2.5
"797","IA","Bremer County, IA",13877,83797,2.5
"798","IA","Buchanan County, IA",11223,70498,2.9
"799","IA","Buena Vista County, IA",12156,67552,2.4
"800","IA","Butler County, IA",8170,67233,3.1
"801","IA","Calhoun County, IA",4150,64634,2.7
"802","IA","Carroll County, IA",10534,73643,2.4
"803","IA","Cass County, IA",6919,61204,2.7
"804","IA","Cedar County, IA",10486,71563,3
"805","IA","Cerro Gordo County, IA",22175,63279,3.1
"806","IA","Cherokee County, IA",6110,65985,2.5
"807","IA","Chickasaw County, IA",6556,74077,2.5
"808","IA","Clarke County, IA",5042,65129,2.9
"809","IA","Clay County, IA",8577,68542,2.9
"810","IA","Clayton County, IA",9557,64486,4
"811","IA","Clinton County, IA",21868,61136,3.7
"812","IA","Crawford County, IA",7794,67363,4.8
"813","IA","Dallas County, IA",54766,109138,2.2
"814","IA","Davis County, IA",4332,65201,2.4
"815","IA","Decatur County, IA",4334,51749,2.4
"816","IA","Delaware County, IA",10407,74017,2.6
"817","IA","Des Moines County, IA",17927,59688,4.2
"818","IA","Dickinson County, IA",10669,75406,2.9
"819","IA","Dubuque County, IA",55798,73492,2.9
"820","IA","Emmet County, IA",4810,56834,3.1
"821","IA","Fayette County, IA",10518,56599,3.2
"822","IA","Floyd County, IA",8380,64553,3.4
"823","IA","Franklin County, IA",5703,63775,2.8
"824","IA","Fremont County, IA",3690,69018,2.3
"825","IA","Greene County, IA",5297,63562,2.2
"826","IA","Grundy County, IA",6382,79386,2.8
"827","IA","Guthrie County, IA",5749,72701,3
"828","IA","Hamilton County, IA",6998,68795,2.7
"829","IA","Hancock County, IA",5637,67498,2.8
"830","IA","Hardin County, IA",7904,59622,3.1
"831","IA","Harrison County, IA",7182,73457,2.7
"832","IA","Henry County, IA",9173,63702,3.3
"833","IA","Howard County, IA",5302,66979,3.2
"834","IA","Humboldt County, IA",4980,71521,2.7
"835","IA","Ida County, IA",3919,67696,2.1
"836","IA","Iowa County, IA",9907,72948,2.8
"837","IA","Jackson County, IA",10591,64792,3.5
"838","IA","Jasper County, IA",18653,69047,3
"839","IA","Jefferson County, IA",10133,59603,2.7
"840","IA","Johnson County, IA",86703,74909,2.4
"841","IA","Jones County, IA",10330,70671,3.5
"842","IA","Keokuk County, IA",5266,65653,3.3
"843","IA","Kossuth County, IA",8248,65510,2.5
"844","IA","Lee County, IA",14604,59017,4.1
"845","IA","Linn County, IA",119470,74134,3.5
"846","IA","Louisa County, IA",5961,70953,3.2
"847","IA","Lucas County, IA",4478,60245,2.4
"848","IA","Lyon County, IA",7209,74061,2
"849","IA","Madison County, IA",8924,80887,3.5
"850","IA","Mahaska County, IA",12201,68759,2.6
"851","IA","Marion County, IA",19395,73451,2.2
"852","IA","Marshall County, IA",17428,69818,6.3
"853","IA","Mills County, IA",7168,75835,2.7
"854","IA","Mitchell County, IA",5836,65132,2.3
"855","IA","Monona County, IA",4396,60237,2.8
"856","IA","Monroe County, IA",4171,66176,2.8
"857","IA","Montgomery County, IA",4996,58895,2.6
"858","IA","Muscatine County, IA",20636,69096,3.2
"859","IA","O'Brien County, IA",8237,67470,2.4
"860","IA","Osceola County, IA",3648,64993,1.9
"861","IA","Page County, IA",6570,60567,2.6
"862","IA","Palo Alto County, IA",4481,65438,2.5
"863","IA","Plymouth County, IA",14842,79431,2.1
"864","IA","Pocahontas County, IA",3996,61927,2.3
"865","IA","Polk County, IA",280238,77369,2.9
"866","IA","Pottawattamie County, IA",47918,68712,2.9
"867","IA","Poweshiek County, IA",10292,69566,2.9
"868","IA","Ringgold County, IA",2349,60061,2.2
"869","IA","Sac County, IA",5305,72499,2.4
"870","IA","Scott County, IA",87630,68576,3.5
"871","IA","Shelby County, IA",6446,71628,2.4
"872","IA","Sioux County, IA",23233,75994,1.9
"873","IA","Story County, IA",59645,68720,2.1
"874","IA","Tama County, IA",9237,66295,3.9
"875","IA","Taylor County, IA",3146,56021,2.2
"876","IA","Union County, IA",5959,55812,3
"877","IA","Van Buren County, IA",3662,64550,3.1
"878","IA","Wapello County, IA",16714,61555,3.5
"879","IA","Warren County, IA",29739,90943,2.6
"880","IA","Washington County, IA",11794,70539,2.6
"881","IA","Wayne County, IA",3017,58000,2.9
"882","IA","Webster County, IA",18643,67110,3.1
"883","IA","Winnebago County, IA",4922,66776,3.8
"884","IA","Winneshiek County, IA",11600,72032,3.2
"885","IA","Woodbury County, IA",55965,66830,2.9
"886","IA","Worth County, IA",4027,71329,3
"887","IA","Wright County, IA",6588,67291,2.6
"888","KS","Allen County, KS",6114,50995,2.8
"889","KS","Anderson County, KS",4409,59683,2.1
"890","KS","Atchison County, KS",6752,59085,3.4
"891","KS","Barber County, KS",2259,59845,2.4
"892","KS","Barton County, KS",12792,56711,2.7
"893","KS","Bourbon County, KS",6204,44954,3.4
"894","KS","Brown County, KS",4577,56391,2.8
"895","KS","Butler County, KS",33100,80214,2.7
"896","KS","Chase County, KS",1238,58580,2.3
"897","KS","Chautauqua County, KS",1385,49457,2.8
"898","KS","Cherokee County, KS",10012,54965,2.7
"899","KS","Cheyenne County, KS",1219,56500,2.5
"900","KS","Clark County, KS",1104,58914,2
"901","KS","Clay County, KS",3691,59021,2.5
"902","KS","Cloud County, KS",3712,52483,2.8
"903","KS","Coffey County, KS",3672,69100,3.3
"904","KS","Comanche County, KS",857,53657,2.6
"905","KS","Cowley County, KS",16200,56416,3
"906","KS","Crawford County, KS",19102,51835,2.8
"907","KS","Decatur County, KS",1178,51152,2.9
"908","KS","Dickinson County, KS",8619,63136,2.8
"909","KS","Doniphan County, KS",4027,64608,2.5
"910","KS","Douglas County, KS",66580,67482,2.6
"911","KS","Edwards County, KS",1365,55777,2.3
"912","KS","Elk County, KS",1169,47094,2.5
"913","KS","Ellis County, KS",17173,61675,1.9
"914","KS","Ellsworth County, KS",2551,63636,2.4
"915","KS","Finney County, KS",20564,69966,2.1
"916","KS","Ford County, KS",17709,67714,2.1
"917","KS","Franklin County, KS",14998,67263,2.5
"918","KS","Geary County, KS",11099,60026,3.8
"919","KS","Gove County, KS",1306,64037,2.3
"920","KS","Graham County, KS",1153,53233,2.6
"921","KS","Grant County, KS",2798,66022,2.7
"922","KS","Gray County, KS",3172,77761,2
"923","KS","Greeley County, KS",765,72300,1.8
"924","KS","Greenwood County, KS",3021,52145,2.7
"925","KS","Hamilton County, KS",1619,63442,1.8
"926","KS","Harper County, KS",2797,52893,2.3
"927","KS","Harvey County, KS",17372,73854,2.9
"928","KS","Haskell County, KS",2115,69971,2
"929","KS","Hodgeman County, KS",988,67478,2.2
"930","KS","Jackson County, KS",7361,70445,2.3
"931","KS","Jefferson County, KS",10454,75774,2.5
"932","KS","Jewell County, KS",1143,56144,2.8
"933","KS","Johnson County, KS",352969,99174,2.4
"934","KS","Kearny County, KS",1952,75773,2
"935","KS","Kingman County, KS",3304,65597,2.7
"936","KS","Kiowa County, KS",1185,61700,2.5
"937","KS","Labette County, KS",9384,52318,2.9
"938","KS","Lane County, KS",704,64934,2.7
"939","KS","Leavenworth County, KS",37723,79117,2.7
"940","KS","Lincoln County, KS",1641,58049,2.1
"941","KS","Linn County, KS",4394,59651,3.9
"942","KS","Logan County, KS",1636,63204,1.8
"943","KS","Lyon County, KS",16840,55863,2.6
"944","KS","McPherson County, KS",17596,73766,2
"945","KS","Marion County, KS",5945,64337,2.5
"946","KS","Marshall County, KS",5300,58942,2.1
"947","KS","Meade County, KS",2095,68038,2.1
"948","KS","Miami County, KS",18198,82606,2.6
"949","KS","Mitchell County, KS",3321,63929,2
"950","KS","Montgomery County, KS",14732,54955,3
"951","KS","Morris County, KS",2930,60741,2.5
"952","KS","Morton County, KS",1104,62896,2.6
"953","KS","Nemaha County, KS",5896,72719,1.7
"954","KS","Neosho County, KS",6169,49322,3.5
"955","KS","Ness County, KS",1289,61539,2.4
"956","KS","Norton County, KS",2602,56604,2
"957","KS","Osage County, KS",8082,62995,2.6
"958","KS","Osborne County, KS",1769,53971,2.2
"959","KS","Ottawa County, KS",3000,69542,2.3
"960","KS","Pawnee County, KS",2660,47939,2.6
"961","KS","Phillips County, KS",2579,58834,2.2
"962","KS","Pottawatomie County, KS",12676,85822,2.3
"963","KS","Pratt County, KS",4876,65812,2.1
"964","KS","Rawlins County, KS",1510,59116,1.9
"965","KS","Reno County, KS",28928,57663,2.9
"966","KS","Republic County, KS",2358,53974,2.1
"967","KS","Rice County, KS",5136,61727,2.5
"968","KS","Riley County, KS",35130,55876,2.6
"969","KS","Rooks County, KS",2338,57029,2.6
"970","KS","Rush County, KS",1620,56629,2.2
"971","KS","Russell County, KS",3289,48754,2.3
"972","KS","Saline County, KS",30115,57563,2.4
"973","KS","Scott County, KS",2613,71121,2
"974","KS","Sedgwick County, KS",258378,64720,2.9
"975","KS","Seward County, KS",9687,63579,2.5
"976","KS","Shawnee County, KS",92894,61255,2.7
"977","KS","Sheridan County, KS",1393,62918,2.1
"978","KS","Sherman County, KS",2750,57044,2.4
"979","KS","Smith County, KS",2012,52101,2
"980","KS","Stafford County, KS",1890,58019,2.3
"981","KS","Stanton County, KS",1049,76137,2.1
"982","KS","Stevens County, KS",2745,69320,2.1
"983","KS","Sumner County, KS",10861,62921,2.7
"984","KS","Thomas County, KS",4216,62916,1.9
"985","KS","Trego County, KS",1285,54628,3
"986","KS","Wabaunsee County, KS",3774,68435,2.6
"987","KS","Wallace County, KS",862,62309,2.2
"988","KS","Washington County, KS",2985,63797,2.1
"989","KS","Wichita County, KS",1088,68225,2.2
"990","KS","Wilson County, KS",3686,52064,3.1
"991","KS","Woodson County, KS",1492,49477,3.4
"992","KS","Wyandotte County, KS",78869,58701,3.4
"993","KY","Adair County, KY",7216,44153,5
"994","KY","Allen County, KY",8918,61655,4
"995","KY","Anderson County, KY",12026,66846,3.3
"996","KY","Ballard County, KY",3459,56605,4.9
"997","KY","Barren County, KY",17675,50658,4.4
"998","KY","Bath County, KY",4571,48260,5.6
"999","KY","Bell County, KY",8259,33923,5.6
"1000","KY","Boone County, KY",71478,90265,3.6
"1001","KY","Bourbon County, KY",9382,56879,3.6
"1002","KY","Boyd County, KY",17030,55397,5.6
"1003","KY","Boyle County, KY",12548,57975,4.5
"1004","KY","Bracken County, KY",3738,58301,4.7
"1005","KY","Breathitt County, KY",3155,36300,7.5
"1006","KY","Breckinridge County, KY",7869,52400,4.9
"1007","KY","Bullitt County, KY",42406,77192,4.1
"1008","KY","Butler County, KY",5031,50824,4.5
"1009","KY","Caldwell County, KY",5714,51553,3.9
"1010","KY","Calloway County, KY",17096,51949,4.4
"1011","KY","Campbell County, KY",50200,74149,3.6
"1012","KY","Carlisle County, KY",2191,54535,3.9
"1013","KY","Carroll County, KY",5460,59226,3.5
"1014","KY","Carter County, KY",9599,48285,7.6
"1015","KY","Casey County, KY",6535,43539,4.1
"1016","KY","Christian County, KY",24573,56610,5.1
"1017","KY","Clark County, KY",17231,61641,3.8
"1018","KY","Clay County, KY",5071,34473,6.4
"1019","KY","Clinton County, KY",3430,41739,5.2
"1020","KY","Crittenden County, KY",3720,50452,4.1
"1021","KY","Cumberland County, KY",3456,48864,3.4
"1022","KY","Daviess County, KY",44563,65949,4.3
"1023","KY","Edmonson County, KY",4769,51402,5.1
"1024","KY","Elliott County, KY",1879,40312,8.2
"1025","KY","Estill County, KY",5138,39402,5
"1026","KY","Fayette County, KY",175552,63667,3.4
"1027","KY","Fleming County, KY",5886,50012,4.8
"1028","KY","Floyd County, KY",10873,37296,6
"1029","KY","Franklin County, KY",25227,58456,3.6
"1030","KY","Fulton County, KY",2104,40409,5
"1031","KY","Gallatin County, KY",3951,59175,4
"1032","KY","Garrard County, KY",7901,57748,3.9
"1033","KY","Grant County, KY",11557,66458,4
"1034","KY","Graves County, KY",15387,53408,4.2
"1035","KY","Grayson County, KY",10268,52130,4.6
"1036","KY","Green County, KY",4983,46169,3.8
"1037","KY","Greenup County, KY",12840,54462,6.5
"1038","KY","Hancock County, KY",3710,66300,4.6
"1039","KY","Hardin County, KY",47422,61920,4.1
"1040","KY","Harlan County, KY",6329,36022,6.6
"1041","KY","Harrison County, KY",8776,60962,3.8
"1042","KY","Hart County, KY",7525,47229,4.4
"1043","KY","Henderson County, KY",20182,55530,4
"1044","KY","Henry County, KY",7975,65068,3.7
"1045","KY","Hickman County, KY",1632,53838,4.5
"1046","KY","Hopkins County, KY",18255,52198,4.4
"1047","KY","Jackson County, KY",4116,41007,5.6
"1048","KY","Jefferson County, KY",389522,64719,3.9
"1049","KY","Jessamine County, KY",26587,69216,3.5
"1050","KY","Johnson County, KY",6681,42877,6.6
"1051","KY","Kenton County, KY",86915,77284,3.7
"1052","KY","Knott County, KY",4256,38456,6.7
"1053","KY","Knox County, KY",9782,36573,5.8
"1054","KY","Larue County, KY",5781,53939,4.4
"1055","KY","Laurel County, KY",24678,50721,4.5
"1056","KY","Lawrence County, KY",5594,42776,5.7
"1057","KY","Lee County, KY",2155,34632,5.8
"1058","KY","Leslie County, KY",2504,36666,6.9
"1059","KY","Letcher County, KY",5959,37854,6.3
"1060","KY","Lewis County, KY",4433,44098,8
"1061","KY","Lincoln County, KY",9182,49814,5.1
"1062","KY","Livingston County, KY",3637,55355,5
"1063","KY","Logan County, KY",12126,56823,4.1
"1064","KY","Lyon County, KY",3153,58938,4.4
"1065","KY","McCracken County, KY",29813,60026,4
"1066","KY","McCreary County, KY",4638,35443,5.9
"1067","KY","McLean County, KY",3832,55555,4.6
"1068","KY","Madison County, KY",46796,60994,3.9
"1069","KY","Magoffin County, KY",3122,35669,9.8
"1070","KY","Marion County, KY",9405,53676,3.4
"1071","KY","Marshall County, KY",14891,64395,4
"1072","KY","Martin County, KY",2198,34435,8.3
"1073","KY","Mason County, KY",6465,49029,5.2
"1074","KY","Meade County, KY",11706,69632,4.6
"1075","KY","Menifee County, KY",2311,43226,6.2
"1076","KY","Mercer County, KY",10176,65292,4.1
"1077","KY","Metcalfe County, KY",3846,44973,4.8
"1078","KY","Monroe County, KY",4444,45872,4.3
"1079","KY","Montgomery County, KY",11560,55924,4.8
"1080","KY","Morgan County, KY",4370,41863,5.1
"1081","KY","Muhlenberg County, KY",9886,48190,6.1
"1082","KY","Nelson County, KY",23669,66681,3.6
"1083","KY","Nicholas County, KY",3302,51100,4.3
"1084","KY","Ohio County, KY",9009,50275,5.6
"1085","KY","Oldham County, KY",32836,116173,3.4
"1086","KY","Owen County, KY",5167,60592,3.7
"1087","KY","Owsley County, KY",1090,32783,6.6
"1088","KY","Pendleton County, KY",6857,65727,4
"1089","KY","Perry County, KY",7982,43945,5.6
"1090","KY","Pike County, KY",18898,41837,5.7
"1091","KY","Powell County, KY",5137,42434,4.4
"1092","KY","Pulaski County, KY",25038,46380,4.8
"1093","KY","Robertson County, KY",784,53456,5.2
"1094","KY","Rockcastle County, KY",6464,45161,4.7
"1095","KY","Rowan County, KY",10178,50498,5.2
"1096","KY","Russell County, KY",6333,44425,5.3
"1097","KY","Scott County, KY",30322,86169,3.3
"1098","KY","Shelby County, KY",25416,81815,3.5
"1099","KY","Simpson County, KY",8963,58550,3.8
"1100","KY","Spencer County, KY",10414,101552,3.7
"1101","KY","Taylor County, KY",11997,52414,3.8
"1102","KY","Todd County, KY",5690,53280,3.8
"1103","KY","Trigg County, KY",5963,56433,4.7
"1104","KY","Trimble County, KY",3743,65828,3.9
"1105","KY","Union County, KY",5829,58223,4.9
"1106","KY","Warren County, KY",66253,60651,3.9
"1107","KY","Washington County, KY",6195,59937,3.3
"1108","KY","Wayne County, KY",6813,39863,5.6
"1109","KY","Webster County, KY",5179,56052,4.2
"1110","KY","Whitley County, KY",13680,43604,4.8
"1111","KY","Wolfe County, KY",2110,37718,6.3
